Date, StudentID,Demerits, Sendouts, Detentions, Friday, Hours
2013-10-09,203429113,2,0,0,0,12
2013-10-09,203233556,6,0,0,0,18
2013-10-09,206427635,0,0,0,0,6
2013-10-09,203649017,0,0,0,0,6
2013-10-09,203017033,1,0,0,0,6
2013-10-09,204019046,3,0,0,Yes,0
2013-10-09,206527350,1,0,0,0,24
2013-10-09,219859162,1,0,0,0,6
2013-10-09,204301253,0,0,0,0,6
2013-10-09,209759695,0,0,0,0,12
2013-10-09,208028233,1,0,0,0,12
2013-10-09,270308232,1,0,0,0,6
2013-10-09,204834733,1,0,0,0,6
2013-10-09,203612080,1,0,0,0,6
2013-10-09,216439729,2,0,0,0,24
2013-10-09,207055039,0,0,0,0,6
2013-10-09,208038646,1,0,0,0,12
2013-10-09,270448608,0,0,0,0,6
2013-10-09,274824002,3,0,0,0,12
2013-10-09,203287990,1,0,0,0,6
2013-10-09,202940656,0,0,0,Yes,0
2013-10-09,205349582,1,0,0,0,12
2013-10-09,205303514,1,0,0,0,18
2013-10-09,214920498,2,0,0,0,12
2013-10-09,205921778,2,0,0,0,6
2013-10-09,208020065,1,0,0,0,6
2013-10-09,225693340,0,0,0,0,6
2013-10-09,206243131,1,0,0,0,6
2013-10-09,204480156,0,0,0,0,24
2013-10-09,204919088,1,0,0,0,18
2013-10-09,205349574,1,0,0,0,6
2013-10-09,203186549,2,0,0,0,6
2013-10-09,206744815,6,0,0,0,12
2013-10-09,203438452,1,0,0,0,6
2013-10-09,226616027,6,0,0,0,24
2013-10-09,201834165,3,0,0,0,6
2013-10-09,271179574,0,0,0,0,6
2013-10-09,209167444,1,0,0,0,6
2013-10-09,269885026,0,0,0,0,6
2013-10-09,205090087,1,0,0,0,6
2013-10-09,204508147,1,0,0,0,18
2013-10-09,221324023,1,0,0,0,6
2013-10-09,208256032,1,0,0,0,6
2013-10-09,207751355,1,0,0,0,6
2013-10-09,207888280,0,0,0,0,6
2013-10-09,203437868,1,0,0,0,6
2013-10-09,204205199,0,0,0,Yes,0
2013-10-09,206181547,2,0,0,0,6
2013-10-09,205463797,2,0,0,Yes,0
2013-10-09,209699818,0,0,0,0,6
2013-10-09,200038933,0,0,0,0,12
2013-10-09,214614117,1,0,0,0,24
2013-10-09,201780095,1,0,0,0,6
2013-10-09,203368659,1,0,0,0,12
2013-10-09,206744559,0,0,0,0,6
2013-10-09,222750010,2,0,0,0,6
2013-10-09,209596014,1,0,0,0,12
2013-10-09,203234182,2,0,0,0,6
2013-10-09,208217653,1,0,0,0,6
2013-10-09,207065434,0,0,0,Yes,0
2013-10-09,203981675,1,0,0,0,6
2013-10-09,206785966,5,0,0,0,18
2013-10-09,208302968,2,0,0,0,12
2013-10-09,271001166,2,0,0,0,12
2013-10-09,204999197,1,0,0,0,30
2013-10-09,206266686,3,0,0,0,6
2013-10-09,205215593,1,0,0,0,6
2013-10-09,206309429,2,0,0,0,24
2013-10-09,203099890,2,0,0,0,18
2013-10-09,207097734,2,0,0,0,12
2013-10-09,203355128,0,0,0,0,12
2013-10-09,220498547,1,0,0,0,6
2013-10-09,204893952,1,0,0,0,6
2013-10-09,203186077,1,0,0,0,6
2013-10-09,206597098,1,0,0,0,6
2013-10-09,274188960,2,0,0,0,12
2013-10-09,219500980,1,0,0,0,6
2013-10-09,206345688,1,0,0,0,18
2013-10-09,203945175,2,0,0,0,6
2013-10-09,209374206,1,0,0,0,6
2013-10-09,205245269,1,0,0,0,6
2013-10-09,274624303,1,0,0,0,6
2013-10-09,219736915,1,0,0,0,6
2013-10-09,205146681,1,0,0,0,12
2013-10-09,206100935,1,0,0,0,12
2013-10-09,207018490,6,0,0,0,48
2013-10-09,268731775,0,0,0,0,6
2013-10-09,204388128,3,0,0,0,12
2013-10-09,208062646,1,0,0,0,6
2013-10-09,203018593,1,0,0,0,6
2013-10-09,205349558,1,0,0,0,6
2013-10-09,271606915,3,0,0,0,18
2013-10-09,203043898,1,0,0,0,6
2013-10-09,204798342,1,0,0,0,6
2013-10-09,204717912,2,0,0,0,12
2013-10-09,214578817,4,0,0,0,24
2013-10-09,204229975,1,0,0,Yes,0
2013-10-09,203030895,0,0,0,0,6
2013-10-09,274230853,0,0,0,0,6
2013-10-09,205014202,4,0,0,0,6
2013-10-09,207854050,2,0,0,0,6
2013-10-09,203099908,1,0,0,0,6
2013-10-09,206437865,3,0,0,0,18
2013-10-09,215817958,0,0,0,0,6
2013-10-09,204956932,5,0,0,0,12
2013-10-09,268243219,1,0,0,0,6
2013-10-09,209569227,0,0,0,0,18
2013-10-09,206624835,2,0,0,0,6
2013-10-09,208110981,2,0,0,0,6
2013-10-09,207385741,1,0,0,0,24
2013-10-09,206352874,1,0,0,0,12
2013-10-09,206526139,3,0,0,0,18
2013-10-09,205753155,2,0,0,0,24
2013-10-09,203188107,1,0,0,0,12
2013-10-09,219235827,3,0,0,Yes,0
2013-10-09,274032895,1,0,0,Yes,0
2013-10-08,,0,0,0,0,6
2013-10-08,203429113,1,0,0,0,12
2013-10-08,219944394,1,0,0,0,6
2013-10-08,205601222,1,0,0,0,6
2013-10-08,270281850,1,0,0,0,6
2013-10-08,206209371,1,0,0,0,6
2013-10-08,203233556,9,0,0,0,18
2013-10-08,206427635,1,0,0,0,6
2013-10-08,209169283,1,0,0,0,6
2013-10-08,270898026,1,0,0,0,6
2013-10-08,203649017,3,0,0,0,6
2013-10-08,204019046,1,0,0,Yes,0
2013-10-08,206527350,1,0,0,0,24
2013-10-08,209759695,0,0,0,0,12
2013-10-08,206433245,1,0,0,0,6
2013-10-08,208028233,2,0,0,0,12
2013-10-08,270308232,1,0,0,0,6
2013-10-08,204604144,1,0,0,0,12
2013-10-08,203612080,1,0,0,0,6
2013-10-08,216439729,1,0,0,0,24
2013-10-08,207055039,0,0,0,0,6
2013-10-08,204059430,0,0,0,Yes,0
2013-10-08,271039166,1,0,0,0,6
2013-10-08,203287990,1,0,0,0,6
2013-10-08,207751355,1,0,0,0,6
2013-10-08,205179021,1,0,0,0,6
2013-10-08,200014090,2,0,0,0,12
2013-10-08,205038201,1,0,0,0,6
2013-10-08,205349582,3,0,0,0,12
2013-10-08,205303514,6,0,0,0,18
2013-10-08,206157844,1,0,0,0,12
2013-10-08,203537261,1,0,0,0,6
2013-10-08,204273775,1,0,0,0,6
2013-10-08,208020065,1,0,0,0,6
2013-10-08,204480156,3,0,0,0,24
2013-10-08,205245228,1,0,0,0,6
2013-10-08,204919088,2,0,0,0,18
2013-10-08,205349574,1,0,0,0,6
2013-10-08,206744815,2,0,0,0,12
2013-10-08,204299432,1,0,0,0,6
2013-10-08,262574254,1,0,0,0,12
2013-10-08,226616027,2,0,0,0,24
2013-10-08,274071075,1,0,0,Yes,0
2013-10-08,205090970,3,0,0,0,6
2013-10-08,205090087,3,0,0,0,6
2013-10-08,203367040,1,0,0,0,6
2013-10-08,203428974,1,0,0,0,6
2013-10-08,216535211,1,0,0,0,6
2013-10-08,221324023,2,0,0,0,6
2013-10-08,203912936,1,0,0,0,6
2013-10-08,204572952,1,0,0,0,12
2013-10-08,209989276,1,0,0,0,6
